"Model2_a1","Model2_a2","res_z1","res_z2"
0.385280359661527,0.0584644667092974,-0.409548553865812,-0.768007848974154
0.304633570029908,0.0398225444727869,-0.416902161215724,0.14770807754415
0.304633570029908,0.0398225444727869,-0.273606342100922,0.0418484130304783
0.304633570029908,0.0398225444727869,-0.811499986429224,1.43854870285544
0.304633570029908,0.0398225444727869,0.635883639116162,0.314439040001856
0.343464283364299,0.048798464551869,-0.603641077137255,-0.160416847195983
0.343464283364299,0.048798464551869,-0.770915419198524,1.11405697590129
0.285021382702863,0.0352890860089263,-0.402422255899082,-0.0558386557357424
0.292607391844779,0.0370426312294492,-0.340821376227684,-0.376516430236918
0.292607391844779,0.0370426312294492,-0.40319117130401,-0.476426501499478
0.292607391844779,0.0370426312294492,-0.280463329791208,-0.889552918395376
0.292607391844779,0.0370426312294492,0.221059875821625,0.806555629003476
-0.0195014688545065,0.0357432199056266,0.193433153442773,-0.182868304359344
-0.0195014688545065,0.0357432199056266,0.750885640775455,0.597009992464923
-0.0195014688545065,0.0357432199056266,0.309076712392336,-0.338528911984814
0.0941732284861007,0.0620197137098095,0.0085282931350408,-0.214095795153336
0.0941732284861007,0.0620197137098095,-0.629952366241305,0.835844923488827
0.0985428385665761,0.0630297716637117,2.78963947239267,0.711640106834526
0.0985428385665761,0.0630297716637117,-0.0938285238187217,0.0860119234080527
0.168873642304129,0.0792871004438856,0.0689100501648521,-0.0868885312425759
0.168873642304129,0.0792871004438856,-0.27982705872958,0.379526441856506
0.168873642304129,0.0792871004438856,-0.592762479034814,0.597331270762719
-0.0198039470756131,0.0356733005014957,0.0736505285794404,0.149244471572207
0.0385039405863369,0.0491514700918089,0.00773995229337481,-0.0721929423758552
0.0385039405863369,0.0491514700918089,-0.0568331604494468,0.609523192694103
0.0385039405863369,0.0491514700918089,0.498615064146622,0.458215783157227
0.293311049842227,0.0372052854123305,-0.289736083411533,-0.316932032325965
0.293311049842227,0.0372052854123305,0.525970881107432,-0.090711198997271
0.293311049842227,0.0372052854123305,-0.702068134664878,-0.0468724537973743
0.33784716186162,0.0475000378851126,-0.454084021324675,0.240940579977229
0.33784716186162,0.0475000378851126,0.3410772965997,-0.311155010744189
0.33784716186162,0.0475000378851126,-1.12858941112069,-0.228734970611992
0.33784716186162,0.0475000378851126,-0.527330027466471,-0.285233493571259
0.33784716186162,0.0475000378851126,-1.11416725522021,-1.43561695652538
0.236764281714868,0.024134207704571,-0.146114121140055,1.1531081549102
0.236764281714868,0.024134207704571,-0.347601477435767,0.719634909130002
0.236764281714868,0.024134207704571,0.611916687879678,0.76469909753818
0.236764281714868,0.024134207704571,-0.682806017933967,-0.882633184725349
0.292518179724433,0.0370220093867493,-0.237505260439356,0.574140796157954
0.292518179724433,0.0370220093867493,-0.0394899633715122,-0.902290552185087
0.284821221885454,0.0352428178014751,0.00279604625812612,0.878573257252501
0.284821221885454,0.0352428178014751,2.63846091379984,0.375210524676538
0.0194518104348719,-0.0260986931849805,0.244045438972147,0.623107076145983
0.0194518104348719,-0.0260986931849805,-0.976990228981414,0.258930588878199
0.0194518104348719,-0.0260986931849805,0.0779312060966242,0.165995979941586
0.0940679257569681,0.0619953724397261,-0.153730061115507,-1.46025702293711
0.0940679257569681,0.0619953724397261,0.014097433729868,1.48491036797686
0.0940679257569681,0.0619953724397261,0.146581718319548,-0.156025234855691
0.0940679257569681,0.0619953724397261,0.0467084220034053,-0.199740276022294
0.0940679257569681,0.0619953724397261,0.228817318204444,0.469950575122326
-0.0539181784262028,0.0277876196095351,0.552049333286077,-1.48718597885539
-0.0539181784262028,0.0277876196095351,0.303749493627688,0.700147221637958
-0.0539181784262028,0.0277876196095351,0.109344375452924,-0.677976767163575
-0.0539181784262028,0.0277876196095351,-0.00178330259737712,1.27890999269619
